Frame,X(cm),Y(cm)
1077,35.4704,8.67372
1078,35.5052,8.70657
1079,35.54,8.70657
1080,35.5748,8.73943
1081,35.6096,8.73943
1082,35.6792,8.80514
1083,35.714,8.80514
1084,35.7488,8.80514
1085,35.8185,8.80514
1086,35.8533,8.77228
1087,35.9577,8.77228
1088,36.0273,8.70657
1089,36.0273,8.64086
1090,36.2014,8.64086
1091,36.3058,8.60801
1092,36.3754,8.57515
1093,36.445,8.57515
1094,36.5146,8.57515
1095,36.5843,8.57515
1096,36.7583,8.60801
1097,36.8627,8.64086
1098,36.9672,8.64086
1099,37.0368,8.67372
1100,37.1064,8.70657
1101,37.2456,8.73943
1102,37.3501,8.77228
1103,37.4197,8.77228
1104,37.5589,8.77228
1105,37.6633,8.77228
1106,37.7678,8.77228
1107,37.8374,8.73943
1108,38.0114,8.73943
1109,38.1159,8.73943
1110,38.2203,8.70657
1111,38.3247,8.70657
1112,38.3943,8.67372
1113,38.4988,8.67372
1114,38.6032,8.67372
1115,38.6728,8.67372
1116,38.812,8.67372
1117,38.8468,8.67372
1118,38.9513,8.67372
1119,39.0557,8.67372
1120,39.1253,8.67372
1121,39.2297,8.70657
1122,39.2994,8.70657
1123,39.4386,8.70657
1124,39.5082,8.70657
1125,39.543,8.70657
1126,39.6823,8.70657
1127,39.7519,8.70657
1128,39.8215,8.70657
1129,39.8911,8.70657
1130,39.9955,8.70657
1131,40.0652,8.70657
1132,40.1348,8.70657
1133,40.274,8.70657
1134,40.3088,8.70657
1135,40.4132,8.70657
1136,40.4829,8.70657
1137,40.5525,8.67372
1138,40.5873,8.67372
1139,40.7265,8.67372
1140,40.7613,8.67372
1141,40.8658,8.64086
1142,40.9354,8.64086
1143,41.005,8.64086
1144,41.0746,8.64086
1145,41.1442,8.64086
1146,41.179,8.60801
1147,41.2487,8.60801
1148,41.2835,8.60801
1149,41.3879,8.60801
1150,41.4575,8.57515
1151,41.5271,8.57515
1152,41.5968,8.57515
1153,41.6316,8.57515
1154,41.6664,8.57515
1155,41.7708,8.57515
